subscription_id,customer_id,plan_type,monthly_fee,start_date,status
2063,1063,Gold,50,2021-12-14,Active
2064,1064,Basic,20,2024-01-21,Active
2065,1065,Basic,20,2020-03-23,Active
2066,1066,Silver,30,2023-03-14,Active
2067,1067,Basic,20,2023-01-13,Active
2068,1068,Gold,50,2023-01-06,Churned
2069,1069,Basic,20,2021-04-01,Active
2070,1070,Gold,50,2020-01-01,Active
2071,1071,Gold,50,2020-02-20,Active
2072,1072,Basic,20,2021-11-15,Active
2073,1073,Basic,20,2021-12-17,Active
2074,1074,Gold,50,2024-11-30,Active
2075,1075,Silver,30,2024-01-09,Churned
2076,1076,Silver,30,2021-03-24,Active
2077,1077,Gold,50,2022-05-30,Active
2078,1078,Basic,20,2021-05-02,Active
2079,1079,Basic,20,2024-12-28,Active
2080,1080,Basic,20,2020-02-03,Active
2081,1081,Gold,50,2023-10-03,Active
2082,1082,Silver,30,2020-04-04,Active
2083,1083,Basic,20,2022-12-31,Churned
2084,1084,Basic,20,2024-04-23,Churned
2085,1085,Basic,20,2020-06-02,Active
2086,1086,Basic,20,2020-09-06,Active
2087,1087,Silver,30,2021-11-04,Active
2088,1088,Silver,30,2021-03-13,Active
2089,1089,Gold,50,2020-04-27,Active
2090,1090,Silver,30,2022-02-09,Active
2091,1091,Basic,20,2023-08-22,Active
2092,1092,Silver,30,2020-09-24,Active
2093,1093,Gold,50,2022-12-13,Active
2094,1094,Silver,30,2020-08-23,Active
2095,1095,Gold,50,2021-01-23,Active
2096,1096,Silver,30,2022-09-16,Active
2097,1097,Silver,30,2024-10-23,Active
2098,1098,Silver,30,2022-02-01,Active
2099,1099,Basic,20,2021-02-04,Churned
2100,1100,Basic,20,2021-09-15,Active
2101,1101,Basic,20,2022-02-05,Active
2102,1102,Silver,30,2023-08-19,Active
2103,1103,Basic,20,2022-07-07,Active
2104,1104,Silver,30,2023-05-15,Active
2105,1105,Gold,50,2023-06-06,Active
2106,1106,Basic,20,2022-05-02,Churned
2107,1107,Silver,30,2021-07-31,Churned
2108,1108,Gold,50,2020-03-15,Active
2109,1109,Basic,20,2021-03-10,Active
2110,1110,Basic,20,2020-04-12,Active
2111,1111,Basic,20,2023-12-16,Active
2112,1112,Basic,20,2024-09-23,Churned
2113,1113,Gold,50,2022-02-02,Active
2114,1114,Gold,50,2022-01-07,Active
2115,1115,Silver,30,2022-03-16,Active
2116,1116,Gold,50,2023-08-22,Active
2117,1117,Gold,50,2020-04-07,Active
2118,1118,Basic,20,2022-03-08,Active
2119,1119,Gold,50,2023-09-20,Active
2120,1120,Silver,30,2022-05-08,Churned
2121,1121,Gold,50,2021-03-10,Churned
2122,1122,Gold,50,2021-03-22,Active
2123,1123,Basic,20,2023-08-24,Active
2124,1124,Basic,20,2020-09-05,Active
2125,1125,Basic,20,2020-06-14,Active
2126,1126,Silver,30,2024-02-13,Active
2127,1127,Gold,50,2022-09-10,Active
2128,1128,Gold,50,2023-09-20,Active
2129,1129,Basic,20,2022-10-16,Active
2130,1130,Silver,30,2021-06-25,Active
2131,1131,Silver,30,2022-01-28,Active
2132,1132,Basic,20,2023-02-03,Churned
2133,1133,Basic,20,2024-05-05,Churned
2134,1134,Basic,20,2020-03-21,Active
2135,1135,Gold,50,2020-05-12,Churned
2136,1136,Basic,20,2022-03-07,Active
2137,1137,Silver,30,2022-06-18,Churned
2138,1138,Silver,30,2020-05-17,Churned
2139,1139,Basic,20,2020-07-02,Active
2140,1140,Gold,50,2023-11-25,Active
2141,1141,Gold,50,2023-09-15,Active
2142,1142,Basic,20,2022-02-23,Active
2143,1143,Silver,30,2024-03-11,Active
2144,1144,Basic,20,2022-09-10,Active
2145,1145,Basic,20,2020-03-09,Active
2146,1146,Basic,20,2021-06-29,Churned
2147,1147,Silver,30,2024-12-02,Churned
2148,1148,Silver,30,2020-02-22,Active
2149,1149,Basic,20,2024-01-13,Active
2150,1150,Basic,20,2020-07-23,Active
2151,1151,Gold,50,2020-05-05,Active
2152,1152,Basic,20,2024-11-05,Churned
2153,1153,Basic,20,2020-02-12,Active
2154,1154,Silver,30,2024-11-10,Active
2155,1155,Gold,50,2020-04-20,Active
2156,1156,Basic,20,2022-01-30,Active
2157,1157,Silver,30,2024-08-13,Active
2158,1158,Gold,50,2023-04-21,Churned
2159,1159,Basic,20,2022-04-27,Active
2160,1160,Silver,30,2020-04-04,Active
2161,1161,Basic,20,2023-10-29,Active
2162,1162,Silver,30,2024-03-23,Churned
2163,1163,Silver,30,2022-06-18,Churned
2164,1164,Silver,30,2020-12-25,Active
2165,1165,Basic,20,2022-06-18,Active
2166,1166,Gold,50,2024-09-15,Active
2167,1167,Basic,20,2020-10-07,Active
2168,1168,Basic,20,2023-05-03,Churned
2169,1169,Basic,20,2023-05-03,Active
2170,1170,Silver,30,2021-10-28,Active
2171,1171,Silver,30,2020-04-02,Active
2172,1172,Basic,20,2021-11-02,Active
2173,1173,Silver,30,2020-03-01,Active
2174,1174,Basic,20,2021-09-25,Active
2175,1175,Silver,30,2022-12-10,Active
2176,1176,Basic,20,2023-11-27,Active
2177,1177,Silver,30,2024-12-17,Active
2178,1178,Basic,20,2022-10-25,Active
2179,1179,Gold,50,2024-01-29,Active
2180,1180,Basic,20,2021-08-26,Active
2181,1181,Basic,20,2021-11-12,Active
2182,1182,Basic,20,2021-06-17,Active
2183,1183,Gold,50,2023-11-29,Active
2184,1184,Gold,50,2022-04-17,Active
2185,1185,Basic,20,2024-03-16,Active
2186,1186,Silver,30,2021-10-06,Churned
2187,1187,Gold,50,2020-08-20,Active
2188,1188,Silver,30,2021-06-07,Active
2189,1189,Silver,30,2020-12-11,Active
2190,1190,Basic,20,2022-12-05,Active
2191,1191,Basic,20,2021-06-29,Active
2192,1192,Gold,50,2023-01-06,Active
2193,1193,Gold,50,2024-10-19,Active
2194,1194,Silver,30,2023-01-01,Active
2195,1195,Basic,20,2022-03-04,Active
2196,1196,Basic,20,2020-09-05,Churned
2197,1197,Silver,30,2020-02-16,Active
2198,1198,Gold,50,2023-02-18,Active
2199,1199,Gold,50,2020-08-01,Active
2200,1200,Gold,50,2020-08-26,Active
2201,1201,Silver,30,2022-12-15,Active
2202,1202,Basic,20,2020-12-15,Active
2203,1203,Basic,20,2020-04-16,Active
2204,1204,Gold,50,2022-04-10,Churned
2205,1205,Silver,30,2020-02-17,Churned
2206,1206,Basic,20,2024-05-15,Active
2207,1207,Basic,20,2020-12-02,Active
2208,1208,Silver,30,2022-11-15,Active
2209,1209,Basic,20,2022-03-14,Active
2210,1210,Basic,20,2023-07-04,Active
2211,1211,Silver,30,2020-01-08,Churned
2212,1212,Silver,30,2021-09-16,Active
2213,1213,Silver,30,2023-06-30,Churned
2214,1214,Basic,20,2024-09-11,Active
2215,1215,Silver,30,2021-12-19,Active
2216,1216,Basic,20,2020-10-29,Active
2217,1217,Basic,20,2021-09-30,Churned
2218,1218,Silver,30,2020-02-25,Active
2219,1219,Silver,30,2021-12-26,Churned
2220,1220,Gold,50,2021-06-09,Active
2221,1221,Silver,30,2021-04-18,Active
2222,1222,Silver,30,2020-01-28,Churned
2223,1223,Basic,20,2020-03-18,Active
2224,1224,Basic,20,2023-05-24,Active
2225,1225,Basic,20,2023-11-10,Active
2226,1226,Basic,20,2020-12-30,Churned
2227,1227,Gold,50,2021-10-27,Churned
2228,1228,Basic,20,2021-06-09,Active
2229,1229,Gold,50,2021-11-29,Active
2230,1230,Silver,30,2023-08-28,Churned
2231,1231,Gold,50,2022-06-01,Active
2232,1232,Silver,30,2022-10-27,Active
2233,1233,Silver,30,2022-10-23,Churned
2234,1234,Silver,30,2024-07-04,Active
2235,1235,Basic,20,2022-07-07,Active
2236,1236,Silver,30,2022-01-19,Active
2237,1237,Basic,20,2020-12-28,Churned
2238,1238,Basic,20,2024-11-09,Churned
2239,1239,Silver,30,2024-03-11,Churned
2240,1240,Basic,20,2023-07-21,Active
2241,1241,Gold,50,2024-03-09,Churned
2242,1242,Gold,50,2022-03-16,Churned
2243,1243,Gold,50,2022-01-08,Active
2244,1244,Basic,20,2022-11-04,Churned
2245,1245,Basic,20,2023-04-30,Active
2246,1246,Gold,50,2024-07-12,Active
2247,1247,Silver,30,2021-04-29,Active
2248,1248,Gold,50,2020-01-28,Active
2249,1249,Gold,50,2021-12-14,Active
2250,1250,Gold,50,2022-11-28,Active
2251,1251,Basic,20,2023-07-20,Active
2252,1252,Basic,20,2023-06-08,Active
2253,1253,Gold,50,2020-03-26,Active
2254,1254,Basic,20,2024-02-06,Active
2255,1255,Basic,20,2020-05-05,Active
2256,1256,Silver,30,2022-03-22,Churned
2257,1257,Gold,50,2021-06-20,Active
2258,1258,Silver,30,2020-05-24,Active
2259,1259,Silver,30,2024-03-28,Churned
2260,1260,Basic,20,2023-05-20,Active
2261,1261,Silver,30,2020-01-25,Active
2262,1262,Gold,50,2024-05-22,Active
2263,1263,Basic,20,2023-11-18,Churned
2264,1264,Silver,30,2020-03-07,Active
2265,1265,Gold,50,2020-08-20,Churned
2266,1266,Silver,30,2020-04-18,Active
2267,1267,Silver,30,2023-03-15,Churned
2268,1268,Silver,30,2020-04-20,Churned
2269,1269,Basic,20,2020-08-15,Churned
2270,1270,Basic,20,2020-04-20,Active
2271,1271,Gold,50,2024-02-02,Churned
2272,1272,Gold,50,2020-02-03,Active
2273,1273,Gold,50,2021-09-14,Active
2274,1274,Gold,50,2024-12-04,Active
2275,1275,Silver,30,2023-10-24,Churned
2276,1276,Silver,30,2022-01-17,Churned
2277,1277,Gold,50,2021-08-17,Churned
2278,1278,Silver,30,2024-04-26,Active
2279,1279,Silver,30,2021-02-28,Active
2280,1280,Gold,50,2021-09-04,Active
2281,1281,Gold,50,2024-03-21,Active
2282,1282,Basic,20,2021-11-22,Active
2283,1283,Basic,20,2023-07-29,Active
2284,1284,Basic,20,2023-09-05,Active
2285,1285,Silver,30,2024-10-27,Active
2286,1286,Basic,20,2024-01-06,Active
2287,1287,Silver,30,2020-11-10,Active
2288,1288,Silver,30,2022-05-26,Active
2289,1289,Basic,20,2024-10-30,Churned
2290,1290,Silver,30,2023-11-01,Active
2291,1291,Basic,20,2023-08-05,Active
2292,1292,Basic,20,2023-12-31,Active
2293,1293,Gold,50,2021-10-23,Active
2294,1294,Basic,20,2020-10-03,Churned
2295,1295,Basic,20,2024-09-29,Churned
2296,1296,Silver,30,2024-05-24,Active
2297,1297,Gold,50,2024-03-06,Active
2298,1298,Basic,20,2021-09-15,Churned
2299,1299,Silver,30,2021-05-30,Churned
2300,1300,Basic,20,2023-10-05,Active
2301,1301,Basic,20,2022-04-22,Active
2302,1302,Silver,30,2024-01-09,Active
2303,1303,Silver,30,2020-12-15,Churned
2304,1304,Silver,30,2024-06-18,Active
2305,1305,Silver,30,2024-08-14,Churned
2306,1306,Gold,50,2022-04-02,Active
2307,1307,Silver,30,2023-03-06,Active
2308,1308,Basic,20,2022-01-28,Active
2309,1309,Gold,50,2022-06-17,Active
2310,1310,Basic,20,2020-08-30,Active
2311,1311,Silver,30,2021-06-26,Active
2312,1312,Basic,20,2022-11-29,Active
2313,1313,Basic,20,2020-08-16,Churned
2314,1314,Gold,50,2021-07-01,Active
2315,1315,Gold,50,2022-07-08,Active
2316,1316,Silver,30,2023-05-31,Churned
2317,1317,Silver,30,2020-01-06,Churned
2318,1318,Basic,20,2023-09-07,Churned
2319,1319,Basic,20,2021-04-12,Churned
2320,1320,Basic,20,2024-10-21,Active
2321,1321,Silver,30,2020-03-15,Active
2322,1322,Silver,30,2020-01-04,Churned
2323,1323,Silver,30,2021-10-07,Active
2324,1324,Basic,20,2020-04-27,Active
2325,1325,Gold,50,2022-05-30,Churned
2326,1326,Silver,30,2024-06-17,Active
2327,1327,Silver,30,2021-05-18,Active
2328,1328,Silver,30,2022-08-04,Active
2329,1329,Silver,30,2021-07-27,Active
2330,1330,Basic,20,2024-01-04,Active
2331,1331,Basic,20,2020-07-12,Active
2332,1332,Gold,50,2022-04-26,Churned
2333,1333,Basic,20,2021-12-15,Active
2334,1334,Basic,20,2023-11-16,Active
2335,1335,Basic,20,2022-11-15,Churned
2336,1336,Basic,20,2023-12-29,Churned
2337,1337,Gold,50,2020-06-21,Churned
2338,1338,Silver,30,2023-08-16,Churned
2339,1339,Silver,30,2024-07-26,Active
2340,1340,Basic,20,2020-11-21,Active
2341,1341,Silver,30,2023-12-04,Active
2342,1342,Silver,30,2023-02-15,Active
2343,1343,Basic,20,2022-04-15,Active
2344,1344,Silver,30,2024-12-15,Active
2345,1345,Basic,20,2021-12-24,Active
2346,1346,Silver,30,2020-08-12,Active
2347,1347,Silver,30,2021-06-15,Active
2348,1348,Basic,20,2020-04-22,Active
2349,1349,Basic,20,2020-05-19,Active
2350,1350,Silver,30,2021-07-12,Active
2351,1351,Silver,30,2020-01-01,Churned
2352,1352,Gold,50,2020-03-30,Active
2353,1353,Silver,30,2021-10-15,Active
2354,1354,Basic,20,2020-11-15,Active
2355,1355,Basic,20,2024-04-22,Churned
2356,1356,Silver,30,2020-05-18,Active
2357,1357,Basic,20,2024-03-14,Active
2358,1358,Silver,30,2022-04-24,Active
2359,1359,Gold,50,2020-09-15,Active
2360,1360,Silver,30,2024-08-23,Churned
2361,1361,Basic,20,2022-06-20,Churned
2362,1362,Silver,30,2021-11-20,Active
2363,1363,Silver,30,2020-01-10,Churned
2364,1364,Silver,30,2020-09-17,Churned
2365,1365,Gold,50,2024-07-31,Active
2366,1366,Basic,20,2020-06-20,Churned
2367,1367,Gold,50,2022-06-16,Active
2368,1368,Gold,50,2020-01-13,Active
2369,1369,Basic,20,2023-04-06,Active
2370,1370,Basic,20,2024-07-23,Churned
2371,1371,Basic,20,2024-06-07,Active
2372,1372,Basic,20,2020-11-16,Churned
2373,1373,Basic,20,2023-09-04,Churned
2374,1374,Silver,30,2024-06-24,Active
2375,1375,Basic,20,2020-11-24,Churned
2376,1376,Basic,20,2022-02-23,Active
2377,1377,Gold,50,2022-02-15,Active
2378,1378,Basic,20,2022-06-29,Active
2379,1379,Gold,50,2024-04-22,Active
2380,1380,Basic,20,2023-12-13,Churned
2381,1381,Basic,20,2024-06-17,Churned
2382,1382,Silver,30,2023-01-23,Active
2383,1383,Silver,30,2024-05-23,Active
2384,1384,Gold,50,2020-11-13,Active
2385,1385,Silver,30,2020-08-23,Active
2386,1386,Gold,50,2020-11-29,Churned
2387,1387,Basic,20,2021-01-10,Active
2388,1388,Basic,20,2024-01-22,Active
2389,1389,Gold,50,2023-03-06,Active
2390,1390,Gold,50,2021-08-10,Active
2391,1391,Gold,50,2024-04-19,Churned
2392,1392,Silver,30,2021-05-27,Active
2393,1393,Basic,20,2023-08-12,Churned
2394,1394,Gold,50,2023-09-05,Active
2395,1395,Basic,20,2022-07-06,Churned
2396,1396,Gold,50,2024-05-14,Active
2397,1397,Gold,50,2023-10-04,Active
2398,1398,Silver,30,2024-12-07,Churned
2399,1399,Gold,50,2022-05-22,Active
2400,1400,Gold,50,2023-06-06,Churned
2401,1401,Basic,20,2020-09-26,Active
2402,1402,Gold,50,2022-03-08,Active
2403,1403,Silver,30,2023-08-07,Active
2404,1404,Gold,50,2021-12-25,Active
2405,1405,Basic,20,2023-04-03,Active
2406,1406,Gold,50,2020-01-05,Active
2407,1407,Basic,20,2022-04-30,Active
2408,1408,Basic,20,2023-11-03,Active
2409,1409,Gold,50,2020-03-18,Active
2410,1410,Basic,20,2023-12-04,Churned
2411,1411,Basic,20,2021-07-27,Churned
2412,1412,Gold,50,2020-05-11,Churned
2413,1413,Gold,50,2021-08-23,Active
2414,1414,Silver,30,2024-11-07,Active
2415,1415,Silver,30,2022-12-01,Churned
2416,1416,Silver,30,2020-03-29,Active
2417,1417,Basic,20,2021-02-05,Active
2418,1418,Basic,20,2020-10-22,Active
2419,1419,Silver,30,2023-08-11,Active
2420,1420,Gold,50,2021-09-07,Churned
2421,1421,Gold,50,2024-03-29,Active
2422,1422,Gold,50,2022-03-10,Active
2423,1423,Basic,20,2024-09-10,Active
2424,1424,Silver,30,2024-07-18,Churned
2425,1425,Basic,20,2021-02-25,Active
2426,1426,Silver,30,2022-11-12,Active
2427,1427,Silver,30,2021-07-28,Active
2428,1428,Gold,50,2020-05-22,Churned
2429,1429,Basic,20,2022-09-19,Active
2430,1430,Basic,20,2021-10-26,Active
2431,1431,Basic,20,2020-05-24,Active
2432,1432,Gold,50,2023-06-02,Active
2433,1433,Silver,30,2022-10-03,Active
2434,1434,Basic,20,2021-05-17,Active
2435,1435,Basic,20,2022-03-31,Churned
2436,1436,Silver,30,2024-06-27,Active
2437,1437,Basic,20,2020-04-13,Active
2438,1438,Gold,50,2022-11-28,Churned
2439,1439,Silver,30,2020-07-16,Active
2440,1440,Basic,20,2024-07-27,Active
2441,1441,Basic,20,2021-08-01,Active
2442,1442,Gold,50,2021-01-25,Active
2443,1443,Basic,20,2023-04-17,Churned
2444,1444,Basic,20,2021-07-07,Active
2445,1445,Gold,50,2024-01-11,Churned
2446,1446,Gold,50,2024-03-03,Active
2447,1447,Gold,50,2022-11-04,Active
2448,1448,Gold,50,2024-07-04,Active
2449,1449,Basic,20,2024-08-19,Active
2450,1450,Basic,20,2023-08-05,Active
2451,1451,Gold,50,2021-04-22,Churned
2452,1452,Silver,30,2023-06-08,Active
2453,1453,Silver,30,2022-07-11,Churned
2454,1454,Gold,50,2021-02-23,Active
2455,1455,Basic,20,2020-06-05,Churned
2456,1456,Silver,30,2021-07-03,Churned
2457,1457,Basic,20,2024-01-04,Churned
2458,1458,Silver,30,2023-01-25,Churned
2459,1459,Basic,20,2022-10-17,Churned
2460,1460,Basic,20,2022-09-23,Active
2461,1461,Basic,20,2023-12-05,Active
2462,1462,Silver,30,2022-08-08,Active
2463,1463,Silver,30,2020-10-15,Churned
2464,1464,Silver,30,2023-07-01,Active
2465,1465,Gold,50,2020-07-14,Churned
2466,1466,Basic,20,2021-08-20,Active
2467,1467,Basic,20,2024-03-25,Active
2468,1468,Gold,50,2021-05-31,Active
2469,1469,Basic,20,2024-07-16,Active
2470,1470,Gold,50,2022-05-14,Active
2471,1471,Basic,20,2023-02-15,Active
2472,1472,Gold,50,2022-03-16,Active
2473,1473,Basic,20,2023-03-28,Active
2474,1474,Gold,50,2022-03-25,Active
2475,1475,Silver,30,2020-08-15,Active
2476,1476,Gold,50,2020-08-03,Churned
2477,1477,Basic,20,2022-08-05,Active
2478,1478,Silver,30,2024-09-15,Active
2479,1479,Gold,50,2020-01-15,Active
2480,1480,Silver,30,2023-03-26,Active
2481,1481,Silver,30,2024-07-29,Active
2482,1482,Silver,30,2023-07-08,Active
2483,1483,Silver,30,2023-03-26,Active
2484,1484,Silver,30,2020-02-16,Active
2485,1485,Silver,30,2020-11-19,Active
2486,1486,Gold,50,2022-04-23,Churned
2487,1487,Basic,20,2024-09-04,Churned
2488,1488,Basic,20,2020-05-09,Active
2489,1489,Gold,50,2023-12-05,Active
2490,1490,Gold,50,2020-04-04,Active
2491,1491,Silver,30,2021-09-18,Active
2492,1492,Silver,30,2022-01-24,Churned
2493,1493,Basic,20,2023-08-08,Active
2494,1494,Basic,20,2022-03-04,Active
2495,1495,Silver,30,2023-07-30,Active
2496,1496,Basic,20,2020-03-09,Active
2497,1497,Silver,30,2024-08-10,Active
2498,1498,Basic,20,2020-01-11,Active
2499,1499,Gold,50,2023-07-01,Active
2500,1500,Gold,50,2022-05-21,Active
